Country Name,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United Kingdom,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2, 99.77 , 99.76 , 99.58 , 99.54 , 94.31 , 96.18 , 95.59 , 92.99 , 95.56 , 97.58 , 97.81 , 96.11 
United Kingdom,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F, 99.80 , 100.00 , 100.00 , 100.00 , 94.83 , 96.76 , 96.64 , 93.68 , 95.69 , 97.56 , 97.97 , 96.52 
United Kingdom,"Adjusted net enrolment rate, lower secondary, gender parity index (GPI)",UIS.NERA.2.GPI, 1.00 , 1.00 , 1.01 , 1.01 , 1.01 , 1.01 , 1.02 , 1.01 , 1.00 , 1.00 , 1.00 , 1.01 
United Kingdom,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M, 99.74 , 99.54 , 99.18 , 99.11 , 93.83 , 95.63 , 94.59 , 92.33 , 95.43 , 97.60 , 97.66 , 95.71 
United Kingdom,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR, 99.95 , 99.94 , 99.79 , 99.91 , 99.29 , 99.99 , 99.62 , 97.70 , 99.07 , 98.73 , 99.42 , 99.74 
United Kingdom,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE, 99.98 ,, 99.85 , 99.99 , 99.36 , 99.99 , 99.87 , 97.94 , 99.04 , 98.71 , 99.42 , 99.76 
United Kingdom,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI, 1.00 ,, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
United Kingdom,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA, 99.92 ,, 99.73 , 99.83 , 99.22 , 100.00 , 99.38 , 97.48 , 99.09 , 98.75 , 99.42 , 99.71 
United Kingdom,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1, 99.21 , 98.09 , 98.07 , 99.96 , 98.39 , 99.80 , 98.17 , 95.81 , 96.32 , 99.29 , 98.70 , 98.41 
United Kingdom,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F, 99.17 , 98.06 , 97.80 , 100.00 , 98.40 , 99.60 , 98.24 , 95.85 , 96.40 , 99.30 , 98.76 , 98.46 
United Kingdom,"Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)",UIS.NIRA.1.GPI, 1.00 , 1.00 , 0.99 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
United Kingdom,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M, 99.25 , 98.12 , 98.32 , 99.92 , 98.38 , 99.99 , 98.10 , 95.76 , 96.24 , 99.28 , 98.65 , 98.35 
United Kingdom,All staff compensation as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNS, 73.87 , 71.13 , 71.71 , 71.05 , 64.53 , 79.91 , 80.76 , 80.54 , 80.68 , 81.09 , 69.72 , 65.17 
United Kingdom,All staff compensation as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNS, 71.55 , 69.42 , 69.97 , 69.62 , 63.36 , 71.30 , 61.48 , 69.99 , 69.61 , 68.65 , 62.58 , 78.10 
United Kingdom,All staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNS, 71.80 , 69.72 , 70.42 , 70.46 , 63.89 , 73.49 , 68.33 , 72.73 , 71.54 , 70.47 , 58.79 , 76.82 
United Kingdom,All staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNS, 71.43 , 69.54 , 70.40 , 71.03 , 64.18 , 74.55 , 72.93 , 74.18 , 72.10 , 70.75 , 53.46 , 76.96 
United Kingdom,Capital expenditure as % of total expenditure in pre-primary public institutions (%),UIS.XSPENDP.0.FDPUB.FNCAP, 5.90 , 8.13 , 6.90 , 5.51 , 7.95 , 0.18 , 0.16 , 3.65 , 0.92 , 0.41 , 0.39 , 6.57 
United Kingdom,Capital expenditure as % of total expenditure in primary public institutions (%),UIS.XSPENDP.1.FDPUB.FNCAP, 5.53 , 7.68 , 6.72 , 5.56 , 7.79 , 9.38 , 10.86 , 9.10 , 10.89 , 11.77 , 11.78 , 6.32 
United Kingdom,Capital expenditure as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNCAP, 5.15 , 7.71 , 6.97 , 6.08 , 7.93 , 7.99 , 8.62 , 6.08 , 8.27 , 9.64 , 11.41 , 6.15 
United Kingdom,Capital expenditure as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNCAP, 4.64 , 7.62 , 7.18 , 6.63 , 8.04 , 7.72 , 7.78 , 3.61 , 6.80 , 8.89 , 12.63 , 5.95 
