Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Spain,ESP,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2, 94.02 , 94.87 , 95.47 , 95.31 , 94.99 , 95.08 , 95.29 , 95.33 , 95.11 , 95.00 , 94.78 , 95.17 
Spain,ESP,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F, 95.04 , 96.18 , 96.79 , 96.72 , 96.65 , 96.35 , 96.37 , 96.29 , 96.16 , 96.08 , 95.86 , 95.85 
Spain,ESP,"Adjusted net enrolment rate, lower secondary, gender parity index (GPI)",UIS.NERA.2.GPI, 1.02 , 1.03 , 1.03 , 1.03 , 1.03 , 1.03 , 1.02 , 1.02 , 1.02 , 1.02 , 1.02 , 1.01 
Spain,ESP,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M, 93.06 , 93.63 , 94.22 , 93.99 , 93.42 , 93.88 , 94.27 , 94.43 , 94.12 , 93.99 , 93.75 , 94.53 
Spain,ESP,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR, 99.82 , 99.77 , 99.83 , 99.87 , 99.75 , 99.69 , 99.77 , 99.88 , 99.86 , 99.71 , 99.61 , 99.68 
Spain,ESP,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE, 99.98 , 99.93 , 99.94 , 99.90 , 99.83 , 99.59 , 99.62 , 99.84 , 99.93 , 99.91 , 99.84 , 99.84 
Spain,ESP,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
Spain,ESP,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA, 99.67 , 99.61 , 99.72 , 99.83 , 99.69 , 99.79 , 99.92 , 99.91 , 99.78 , 99.52 , 99.39 , 99.52 
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1, 99.61 , 97.58 , 97.37 , 98.71 , 98.61 , 98.59 , 99.57 ,, 98.97 , 98.88 , 98.17 , 98.76 
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F, 99.94 , 97.76 , 97.59 , 99.03 , 98.95 , 98.39 , 99.66 ,, 99.61 , 99.51 , 99.10 , 99.11 
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)",UIS.NIRA.1.GPI, 1.01 , 1.00 , 1.00 , 1.01 , 1.01 , 1.00 , 1.00 ,, 1.01 , 1.01 , 1.02 , 1.01 
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M, 99.30 , 97.41 , 97.15 , 98.41 , 98.29 , 98.78 , 99.48 ,, 98.36 , 98.29 , 97.30 , 98.43 
Spain,ESP,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,,,,, 67.95 , 69.85 ,, 67.53 , 66.87 , 67.42 , 67.80 , 67.57 
Spain,ESP,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,,,,," 1,047,668.00 "," 843,939.00 ",," 799,083.00 "," 928,039.00 "," 917,535.00 "," 894,837.00 "," 881,504.00 "
Spain,ESP,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,,,,," 711,891.00 "," 589,476.00 ",," 539,631.00 "," 620,591.00 "," 618,607.00 "," 606,677.00 "," 595,618.00 "
Spain,ESP,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,,,,," 335,777.00 "," 254,463.00 ",," 259,452.00 "," 307,447.00 "," 298,929.00 "," 288,160.00 "," 285,887.00 "
