Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,ESP,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2, 94.02 , 94.87 , 95.47 , 95.31 , 94.99 , 95.08 , 95.29 , 95.33 , 95.11 , 95.00 , 94.78 , 95.17 , 95.14 , 93.80 , 94.08 ,,
Spain,ESP,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F, 95.04 , 96.18 , 96.79 , 96.72 , 96.65 , 96.35 , 96.37 , 96.29 , 96.16 , 96.08 , 95.86 , 95.85 , 95.93 , 94.72 , 95.14 ,,
Spain,ESP,"Adjusted net enrolment rate, lower secondary, gender parity index (GPI)",UIS.NERA.2.GPI, 1.02 , 1.03 , 1.03 , 1.03 , 1.03 , 1.03 , 1.02 , 1.02 , 1.02 , 1.02 , 1.02 , 1.01 , 1.02 , 1.02 , 1.02 ,,
Spain,ESP,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M, 93.06 , 93.63 , 94.22 , 93.99 , 93.42 , 93.88 , 94.27 , 94.43 , 94.12 , 93.99 , 93.75 , 94.53 , 94.39 , 92.94 , 93.07 ,,
Spain,ESP,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR, 99.82 , 99.77 , 99.83 , 99.87 , 99.75 , 99.69 , 99.77 , 99.88 , 99.86 , 99.71 , 99.61 , 99.68 , 99.67 , 99.51 , 98.99 , 99.50 ,
Spain,ESP,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE, 99.98 , 99.93 , 99.94 , 99.90 , 99.83 , 99.59 , 99.62 , 99.84 , 99.93 , 99.91 , 99.84 , 99.84 , 99.86 , 99.74 , 99.16 , 99.65 ,
Spain,ESP,"Adjusted net enrolment rate, primary, gender parity index (GPI)",UIS.NERA.1.GPI, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,,
Spain,ESP,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA, 99.67 , 99.61 , 99.72 , 99.83 , 99.69 , 99.79 , 99.92 , 99.91 , 99.78 , 99.52 , 99.39 , 99.52 , 99.50 , 99.30 , 98.82 , 99.35 ,
Spain,ESP,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,,,,,,,,,,,,, 78.54 , 80.41 ,,
Spain,ESP,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,,,,,,,,,,,,,, 81.16 , 82.82 ,,
Spain,ESP,"Adjusted net enrolment rate, upper secondary, gender parity index (GPI)",UIS.NERA.3.GPI,,,,,,,,,,,,,, 1.07 , 1.06 ,,
Spain,ESP,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,,,,,,,,,,,,,, 76.06 , 78.12 ,,
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1, 99.61 , 97.58 , 97.37 , 98.71 , 98.61 , 98.59 , 99.57 ,, 98.97 , 98.88 , 98.17 , 98.76 , 98.32 , 98.34 , 97.40 ,,
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F, 99.94 , 97.76 , 97.59 , 99.03 , 98.95 , 98.39 , 99.66 ,, 99.61 , 99.51 , 99.10 , 99.11 , 99.07 , 98.59 , 97.63 ,,
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, gender parity index (GPI)",UIS.NIRA.1.GPI, 1.01 , 1.00 , 1.00 , 1.01 , 1.01 , 1.00 , 1.00 ,, 1.01 , 1.01 , 1.02 , 1.01 , 1.02 , 1.00 , 1.00 ,,
Spain,ESP,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M, 99.30 , 97.41 , 97.15 , 98.41 , 98.29 , 98.78 , 99.48 ,, 98.36 , 98.29 , 97.30 , 98.43 , 97.61 , 98.10 , 97.19 ,,
Spain,ESP,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,,,,, 67.95 , 69.85 ,, 67.53 , 66.87 , 67.42 , 67.80 , 67.57 , 67.57 , 68.20 , 67.59 , 67.83 , 67.68 
Spain,ESP,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,,,,," 1,047,668.00 "," 843,939.00 ",," 799,083.00 "," 928,039.00 "," 917,535.00 "," 894,837.00 "," 881,504.00 "," 835,310.00 "," 759,798.00 "," 750,894.00 "," 729,349.00 "," 687,340.00 "
Spain,ESP,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,,,,," 711,891.00 "," 589,476.00 ",," 539,631.00 "," 620,591.00 "," 618,607.00 "," 606,677.00 "," 595,618.00 "," 564,426.00 "," 518,216.00 "," 507,563.00 "," 494,728.00 "," 465,177.00 "
Spain,ESP,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,,,,," 335,777.00 "," 254,463.00 ",," 259,452.00 "," 307,447.00 "," 298,929.00 "," 288,160.00 "," 285,887.00 "," 270,884.00 "," 241,582.00 "," 243,331.00 "," 234,621.00 "," 222,163.00 "
Spain,ESP,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,, 97.17 , 97.75 ,, 97.94 , 97.63 , 97.68 , 97.75 , 97.78 , 97.89 , 98.08 , 98.09 , 98.14 , 98.25 
Spain,ESP,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,,,,, 96.23 , 96.93 ,, 97.26 , 96.89 , 96.93 , 97.00 , 97.07 , 97.22 , 97.44 , 97.49 , 97.55 , 97.70 
Spain,ESP,"Adult literacy rate, population 15+ years, gender parity index (GPI)",UIS.LR.AG15T99.GPI,,,,, 0.98 , 0.98 ,, 0.99 , 0.98 , 0.98 , 0.98 , 0.99 , 0.99 , 0.99 , 0.99 , 0.99 , 0.99 
Spain,ESP,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,,,,, 98.14 , 98.62 ,, 98.63 , 98.40 , 98.46 , 98.53 , 98.54 , 98.61 , 98.75 , 98.73 , 98.77 , 98.84 
Spain,ESP,Africa Dataset: Average number of grades per multigrade class in primary schools (number of grades),UIS.AFR.AGRADMG.1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 1 of primary education (number),UIS.AFR.PBR.1.G1.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 2 of primary education (number),UIS.AFR.PBR.1.G2.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 3 of primary education (number),UIS.AFR.PBR.1.G3.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 4 of primary education (number),UIS.AFR.PBR.1.G4.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 5 of primary education (number),UIS.AFR.PBR.1.G5.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 6 of primary education (number),UIS.AFR.PBR.1.G6.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in Grade 7 of primary education (number),UIS.AFR.PBR.1.G7.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per mathematics textbook in primary education (number),UIS.AFR.PBR.1.PU.MATH,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 1 of primary education (number),UIS.AFR.PBR.1.G1.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 2 of primary education (number),UIS.AFR.PBR.1.G2.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 3 of primary education (number),UIS.AFR.PBR.1.G3.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 4 of primary education (number),UIS.AFR.PBR.1.G4.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 5 of primary education (number),UIS.AFR.PBR.1.G5.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 6 of primary education (number),UIS.AFR.PBR.1.G6.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in Grade 7 of primary education (number),UIS.AFR.PBR.1.G7.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average number of pupils per reading textbook in primary education (number),UIS.AFR.PBR.1.PU.READ,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of classes in primary schools (number of pupils),UIS.AFR.CS.1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of multigrade classes in primary schools (number of pupils),UIS.AFR.CS.MG.1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 1 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 2 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G2.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 3 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G3.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 4 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G4.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 5 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G5.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 6 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G6.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in Grade 7 of primary schools (number of pupils),UIS.AFR.CS.SG.1.G7.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Average size of single grade classes in primary schools (number of pupils),UIS.AFR.CS.SG.1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service lower secondary teacher training programmes, both sexes (number)",UIS.AFR.GTC.2.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service lower secondary teacher training programmes, female (number)",UIS.AFR.GTC.2.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service primary or secondary teacher training programmes, both sexes (number)",UIS.AFR.GTC.1T3.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service primary or secondary teacher training programmes, female (number)",UIS.AFR.GTC.1T3.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service primary teacher training programmes, both sexes (number)",UIS.AFR.GTC.1.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service primary teacher training programmes, female (number)",UIS.AFR.GTC.1.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service teacher training programmes, level unspecified, both sexes (number)",UIS.AFR.GTC.UK.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service teacher training programmes, level unspecified, female (number)",UIS.AFR.GTC.UK.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service upper secondary teacher training programmes, both sexes (number)",UIS.AFR.GTC.3.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Graduates from accredited pre-service upper secondary teacher training programmes, female (number)",UIS.AFR.GTC.3.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of female newly recruited teachers in lower secondary education who are trained, female (%)",UIS.AFR.TRNTP.2.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of female newly recruited teachers in primary education who are trained, female (%)",UIS.AFR.TRNTP.1.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of female newly recruited teachers in upper secondary education who are trained, female (%)",UIS.AFR.TRNTP.3.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of female teachers in lower secondary education who are newly recruited, female (%)",UIS.AFR.NTP.2.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of female teachers in primary education who are newly recruited, female (%)",UIS.AFR.NTP.1.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of female teachers in upper secondary education who are newly recruited, female (%)",UIS.AFR.NTP.3.PU.F,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with access to electricity (%),UIS.AFR.SCHBSP.2.PU.WELEC,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with access to potable water (%),UIS.AFR.SCHBSP.2.PU.WPOWAT,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with mixed-sex toilets (%),UIS.AFR.SCHBSP.2.PU.MIXTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with no information on electricity (%),UIS.AFR.SCHBSP.2.PU.WNIELEC,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with no information on potable water (%),UIS.AFR.SCHBSP.2.PU.WNIPOWAT,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with no information on toilets (%),UIS.AFR.SCHBSP.2.PU.WNITOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with single-sex toilets (%),UIS.AFR.SCHBSP.2.PU.WSTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools with toilets (%),UIS.AFR.SCHBSP.2.PU.WTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools without access to electricity (%),UIS.AFR.SCHBSP.2.PU.WOELEC,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools without access to potable water (%),UIS.AFR.SCHBSP.2.PU.WOPOWAT,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of lower secondary schools without toilets (%),UIS.AFR.SCHBSP.2.PU.WOTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of male newly recruited teachers in lower secondary education who are trained, male (%)",UIS.AFR.TRNTP.2.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of male newly recruited teachers in primary education who are trained, male (%)",UIS.AFR.TRNTP.1.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of male newly recruited teachers in upper secondary education who are trained, male (%)",UIS.AFR.TRNTP.3.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of male teachers in lower secondary education who are newly recruited, male (%)",UIS.AFR.NTP.2.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of male teachers in primary education who are newly recruited, male (%)",UIS.AFR.NTP.1.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of male teachers in upper secondary education who are newly recruited, male (%)",UIS.AFR.NTP.3.PU.M,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of newly recruited teachers in lower secondary education who are female (%),UIS.AFR.FNTP.2,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of newly recruited teachers in lower secondary education who are trained, both sexes (%)",UIS.AFR.TRNTP.2.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of newly recruited teachers in primary education who are female (%),UIS.AFR.FNTP.1,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of newly recruited teachers in primary education who are trained, both sexes (%)",UIS.AFR.TRNTP.1.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of newly recruited teachers in upper secondary education who are female (%),UIS.AFR.FNTP.3,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of newly recruited teachers in upper secondary education who are trained, both sexes (%)",UIS.AFR.TRNTP.3.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary pupils in multigrade classes (%),UIS.AFR.ECP.MG.1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with access to electricity (%),UIS.AFR.SCHBSP.1.PU.WELEC,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with access to potable water (%),UIS.AFR.SCHBSP.1.PU.WPOWAT,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with mixed-sex toilets (%),UIS.AFR.SCHBSP.1.PU.MIXTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with no information on electricity (%),UIS.AFR.SCHBSP.1.PU.WNIELEC,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with no information on potable water (%),UIS.AFR.SCHBSP.1.PU.WNIPOWAT,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with no information on toilets (%),UIS.AFR.SCHBSP.1.PU.WNITOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with single-sex toilets (%),UIS.AFR.SCHBSP.1.PU.WSTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools with toilets (%),UIS.AFR.SCHBSP.1.PU.WTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools without access to electricity (%),UIS.AFR.SCHBSP.1.PU.WOELEC,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools without access to potable water (%),UIS.AFR.SCHBSP.1.PU.WOPOWAT,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: Percentage of primary schools without toilets (%),UIS.AFR.SCHBSP.1.PU.WOTOIL,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of teachers in lower secondary education who are newly recruited, both sexes (%)",UIS.AFR.NTP.2.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of teachers in primary education who are newly recruited, both sexes (%)",UIS.AFR.NTP.1.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Percentage of teachers in upper secondary education who are newly recruited, both sexes (%)",UIS.AFR.NTP.3.PU.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in lower secondary education, both sexes",UIS.AFR.GTCTR.2.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in lower secondary education, female",UIS.AFR.GTCTR.2.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in lower secondary education, male",UIS.AFR.GTCTR.2.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in primary education, both sexes",UIS.AFR.GTCTR.1.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in primary education, female",UIS.AFR.GTCTR.1.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in primary education, male",UIS.AFR.GTCTR.1.M,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in upper secondary education, both sexes",UIS.AFR.GTCTR.3.T,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in upper secondary education, female",UIS.AFR.GTCTR.3.F,,,,,,,,,,,,,,,,,
Spain,ESP,"Africa Dataset: Ratio of teacher training graduates to teachers in upper secondary education, male",UIS.AFR.GTCTR.3.M,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: School census return rate from primary schools,UIS.AFR.SCHCENRESPR.1.PU,,,,,,,,,,,,,,,,,
Spain,ESP,Africa Dataset: School census return rate from secondary schools,UIS.AFR.SCHCENRESPR.23.PU,,,,,,,,,,,,,,,,,
