Country Name,Country Code,Series,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Spain,ESP,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.11127,4.13457,4.17343,4.15786,4.14432,4.18482,4.25405,4.52806,4.912,4.85608,4.89692
Spain,ESP,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,103.62152,103.12876,102.8675,103.11266,102.34935,102.962,103.54627,104.15628,104.13446,103.57508,104.14684
Spain,ESP,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9925,0.99121,0.98959,0.99001,0.98672,0.98581,0.98875,0.99066,0.99158,0.99253,0.99241
Spain,ESP,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,3369,2255,266,962,3381,3886,1437,234,1370,1785,1223
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Top of scale,OECD.TSAL.3.ETOP,45345.07881,47323.26647,49712.45336,51225.3552,53120.4457,53781.65806,55779.04,59234.18828,65266.98351,59268.72238,56536.40658
Spain,ESP,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,31345.22756,32678.52182,34613.99161,35792.31673,36610.98066,37956.8897,39366.56,42440.2231,46608.89013,42324.68737,40308.29329
Spain,ESP,Percentage of total aid to education allocated to least developed countries (%),UIS.AIDEDUC.LOWINCOMECOUNT,..,..,..,..,..,..,..,..,..,12.3117,12.32311
Spain,ESP,"Government expenditure on tertiary education, PPP$ (millions)",UIS.X.PPP.5T8.FSGOV,8793.30335,9536.38228,10227.77972,10672.01633,11170.30232,12685.93921,14268.51407,15974.81202,16700.93734,16803.55956,17093.21565
Spain,ESP,"Government expenditure on tertiary education, constant PPP$ (millions)",UIS.X.PPPCONST.5T8.FSGOV,13767.18334,14246.6437,15053.42623,15249.49059,15391.06554,16097.76085,17419.57459,18882.58221,19498.7282,19819.00452,19822.9197
Spain,ESP,Current expenditure other than staff compensation as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNNONS,15.60068,16.10343,15.9916,16.20233,15.93969,15.91814,18.5851,17.98761,18.40123,18.55519,18.55519
Spain,ESP,Capital expenditure as % of total expenditure in tertiary public institutions (%),UIS.XSPENDP.56.FDPUB.FNCAP,20.01808,19.51219,20.20374,19.00821,16.84327,18.1432,19.5868,20.64117,18.78319,18.41957,18.41957
